Sentiment,Class
crust good,0
tasty texture nasty,0
stopped late may bank holiday rick steve recommendation loved,1
selection menu great prices,1
getting angry want damn pho,0
honeslty taste fresh,0
potatoes like rubber could tell made ahead time kept warmer,0
fries great,1
great touch,1
service prompt,1
would go back,0
cashier care ever say still ended wayyy overpriced,0
tried cape cod ravoli chickenwith cranberrymmmm,1
disgusted pretty sure human hair,0
shocked signs indicate cash,0
highly recommended,1
waitress little slow service,0
place worth time let alone vegas,0
like,0
burrittos blah,0
food amazing,1
service also cute,1
could care less interior beautiful,1
performed,1
rightthe red velvet cakeohhh stuff good,1
never brought salad asked,0
hole wall great mexican street tacos friendly staff,1
took hour get food tables restaurant food luke warm sever running around like totally overwhelmed,0
worst salmon sashimi,0
also combos like burger fries beer decent deal,1
like final blow,0
found place accident could happier,1
seems like good quick place grab bite familiar pub food favor look elsewhere,0
overall like place lot,1
redeeming quality restaurant inexpensive,1
ample portions good prices,1
poor service waiter made feel like stupid every time came table,0
first visit hiro delight,1
service sucks,0
shrimp tender moist,1
deal good enough would drag establishment,0
hard judge whether sides good grossed melted styrofoam want eat fear getting sick,0
positive note server attentive provided great service,1
frozen pucks disgust worst people behind register,0
thing like prime rib dessert section,1
bad food damn generic,0
burger good beef cooked right,1
want sandwich go firehouse,1
side greek salad greek dressing tasty pita hummus refreshing,1
ordered duck rare pink tender inside nice char outside,1
came running us realized husband left sunglasses table,1
chow mein good,1
horrible attitudes towards customers talk one customers enjoy food,0
portion huge,1
loved itfriendly servers great food wonderful imaginative menu,1
heart attack grill downtown vegas absolutely flatlined excuse restaurant,0
much seafood like strings pasta bottom,0
salad right amount sauce power scallop perfectly cooked,1
ripped banana ripped petrified tasteless,0
least think refill water struggle wave minutes,0
place receives stars appetizers,1
cocktails handmade delicious,1
wed definitely go back,1
glad found place,1
great food service huge portions give military discount,1
always great time dos gringos,1
updatewent back second time still amazing,1
got food apparently never heard salt batter fish chewy,0
great way finish great,1
deal included tastings drinks jeff went beyond expected,1
really really good rice time,1
service meh,0
took min get milkshake nothing chocolate milk,0
guess known place would suck inside excalibur use common sense,0
scallop dish quite appalling value well,0
times bad customer service,0
sweet potato fries good seasoned well,1
today second time lunch buffet pretty good,1
much good food vegas feel cheated wasting eating opportunity going rice company,0
coming like experiencing underwhelming relationship parties cannot wait person ask break,0
walked place smelled like old grease trap others eating,0
turkey roast beef bland,0
place,1
pan cakes everyone raving taste like sugary disaster tailored palate six year old,0
love pho spring rolls oh yummy try,1
poor batter meat ratio made chicken tenders unsatisfying,0
say food amazing,1
omelets die,1
everything fresh delicious,1
summary largely disappointing dining experience,0
like really sexy party mouth outrageously flirting hottest person party,1
never hard rock casino never ever step forward,0
best breakfast buffet,1
say bye bye tip lady,0
well never go,0
back,1
food arrived quickly,1
good,0
side cafe serves really good food,1
server fantastic found wife loves roasted garlic bone marrow added extra meal another marrow go,1
good thing waiter helpful kept bloddy marys coming,1
best buffet town price cannot beat,1
loved mussels cooked wine reduction duck tender potato dishes delicious,1
one better buffets,1
went tigerlilly fantastic afternoon,1
food delicious bartender attentive personable got great deal,1
ambience wonderful music playing,1
go back next trip,1
sooooo good,1
real sushi lovers let us honest yama good,0
least min passed us ordering food arriving busy,0
really fantastic thai restaurant definitely worth visit,1
nice spicy tender,1
good prices,1
check,1
pretty gross,0
better atmosphere,0
kind hard mess steak,0
although much liked look sound place actual experience bit disappointing,0
know place managed served blandest food ever eaten preparing indian cuisine,0
worst service boot least worries,0
service fine waitress friendly,1
guys steaks steak loving son steak best worst places said best steak hes ever eaten,1
thought would venture away get good sushi place really hit spot night,1
host staff lack better word bitches,0
bland liking place number reasons want waste time bad reviewing ill leave,0
phenomenal food service ambiance,1
would return,0
